created_at,favorites,retweets,text,tweet_id,user_id,user_name,user_screen_name
1347054280000.0,20,63,NFL punter has a few choice words for a politician who is offended by an NFL player supporting gay marriage http://deadspin.com/5941348/they-wont-magically-turn-you-into-a-lustful-cockmonster-chris-kluwe-explains-gay-marriage-to-the-politician-who-is-offended-by-an-nfl-player-supporting-it …,"2,44189468851065E+017",318831260,Homophobes,318831260
1345840154000.0,23,121,Maryland lawmaker who thinks gays are a threat to children crashes boat into children http://www.gaystarnews.com/article/lawmaker-who-thinks-gays-threat-children-crashes-boat-children240812 … #HomophobeOfTheDay,"2,39097055589585E+017",318831260,Homophobes,318831260
1345589961000.0,8,23,The 45 Biggest @Homophobes of Our 45 Yearshttp://www.advocate.com/print-issue/current-issue/2012/08/21/45-biggest-homophobes-our-45-years …,"2,38047669673677E+017",318831260,Homophobes,318831260
1344447699000.0,10,74,"Homophobe of the day: Bryan Fischer, who believes it’s his duty to Christ to abduct children from same-sex households. http://thenewcivilrightsmovement.com/fischer-we-need-an-underground-railroad-to-abduct-children-from-gays/discrimination/2012/08/08/45849 …","2,33256675803529E+017",318831260,Homophobes,318831260
1344397540000.0,7,9,Hate Chick-Fil-A? You'll love this shirt by @WearItOUT_Co: http://wearitout.co/pages/chick-fil-a.html … (Part of their proceeds go to LGBT organizations!),"2,33046294132842E+017",318831260,Homophobes,318831260
1344040335000.0,16,66,"A year ago, @homophobes was created. Today, we reached 10,000 followers. Thank you all for the support! #StopHomophobia #ThinkBeforeYouTweet","2,31548064660341E+017",318831260,Homophobes,318831260
1343930278000.0,9,49,"""I wouldn't want them filthy HIV+ fags eating my good chicken."" - Top 50 Homophobic #ChickFilA Tweets: http://storify.com/homophobes/top-50-homophobic-chick-fil-a-tweets … #CFA","2,31086453059363E+017",318831260,Homophobes,318831260
1343878404000.0,35,180,"""Now I can eat my chicken without the risk of getting AIDS"" - Top 50 Homophobic #ChickFilA Tweets: http://storify.com/homophobes/top-50-homophobic-chick-fil-a-tweets … #CFA","2,30868879730151E+017",318831260,Homophobes,318831260
1343330978000.0,1,18,Homophobe of the day: Kirk Cameron http://thinkprogress.org/lgbt/2012/07/26/589491/lgbt-youth-in-new-jersey-want-to-meet-with-kirk-cameron/ …,"2,2857280491894E+017",318831260,Homophobes,318831260
1343147409000.0,13,127,"Homophobe of the day: @GovMikeHuckabee, who just called for a national 'Chick-Fil-A Appreciation Day'http://www.huffingtonpost.com/2012/07/24/mike-huckabee-chick-fil-a-appreciation-day_n_1696648.html …","2,27802862795768E+017",318831260,Homophobes,318831260
